grid_id,district_name,topology_surface,weighted_topological_degree,pet_rule_pagerank,topology_ecology_class,pet_service_count_2025,positive_rule_count
SZ500_0027_0068,光明区,0.4498231848823075,8.0,0.0001105044637276,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0069,光明区,0.4362692010166869,8.0,0.0001104823014585,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0070,光明区,0.4201624488893801,8.0,0.0001104295132738,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0071,光明区,0.4011382473201459,8.0,0.0001103360801711,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0072,光明区,0.38083766162006855,8.0,0.0001102052466851,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0073,光明区,0.3626643828047298,8.0,0.0001100537271203,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0074,光明区,0.3504475632666593,8.0,0.0001099346403832,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0075,光明区,0.34789479500497295,8.0,0.0001099103734049,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0076,光明区,0.35731572549452983,8.0,0.0001100082510773,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0077,光明区,0.3765222676538844,8.0,0.0001101725602056,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0078,光明区,0.3976129959111504,8.0,0.0001103137666174,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0079,光明区,0.40758094817106866,8.0,0.0001103697144175,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0080,光明区,0.3967012929605481,8.0,0.0001103055832954,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0081,光明区,0.35348657310200027,8.0,0.0001099677768793,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0082,光明区,0.40826058127969944,8.021241634489767,0.0001090531316269,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0083,光明区,0.3545419383357277,8.048780093793022,0.0001066648264562,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0084,光明区,0.41738313625815004,8.40475087897822,0.0001057043867668,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0085,光明区,0.8313239031937231,9.570295296022708,0.0001123397663803,low_network_pet_rule_signal,1.0,0.0
SZ500_0027_0086,光明区,0.9570560282904189,10.88946415961853,0.0001228891213773,network_core_with_pet_ecology,2.0,0.0
SZ500_0027_0087,光明区,0.9261907393082109,10.292670821120874,0.0001189434273169,pet_ecology_peripheral_or_local,1.0,0.0
SZ500_0027_0088,光明区,0.5297712454414852,8.837494068430296,0.0001090651933939,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0089,光明区,0.5287821858768925,8.426006636946418,0.0001095045896075,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0090,光明区,0.4460990164659078,8.11962689078704,0.0001088996949607,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0091,光明区,0.40603105315504473,8.012204266163245,0.0001092111188585,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0092,光明区,0.4556276936678086,8.012204266163245,0.0001098903122975,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0093,宝安区,0.37646148745717756,8.0,0.0001101724940386,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0094,宝安区,0.41292960548126867,8.0,0.000110397634277,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0095,宝安区,0.4561443253398166,8.0,0.0001105089904242,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0096,宝安区,0.5170460824400487,8.0,0.0001106104405446,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0097,宝安区,0.5330920543706488,8.0,0.0001110459684874,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0098,宝安区,0.5566747706928943,8.0,0.0001119479478649,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0099,宝安区,0.6014089954691126,8.0,0.0001145224478968,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0100,宝安区,0.6459000994585038,8.0,0.0001189203554206,low_network_pet_rule_signal,0.0,0.0
SZ500_0027_0101,宝安区,0.6856503481047631,8.0,0.0001272783115198,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0027_0102,宝安区,0.5453834677864957,7.0,0.0001209895891371,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0027_0103,宝安区,0.04295225991822301,5.0,9.908065837187746e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0011,南山区,0.014078903746270308,4.0,7.69521734474238e-05,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0012,南山区,0.5372389214277821,7.0,0.0001198120069476,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0028_0013,南山区,0.6798154492209085,8.0,0.0001254878676364,network_core_without_high_pet_ecology,0.0,0.0
SZ500_0028_0014,南山区,0.642131727262681,8.0,0.0001183963658264,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0015,南山区,0.5902254392750581,8.0,0.0001137920721513,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0016,南山区,0.5536357608575533,8.0,0.0001118303108743,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0017,南山区,0.5276826168637418,8.0,0.000110890815034,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0018,南山区,0.41177478174383914,8.0,0.0001103918019694,low_network_pet_rule_signal,0.0,0.0
SZ500_0028_0019,南山区,0.5036965410542602,8.023922450601871,0.0001102149127076,low_network_pet_rule_signal,0.0,0.0
