year,category,relative_path,size_bytes,encoding,read_status,read_error
2020,道路附属设施,深圳市2020/csv/2020_道路附属设施.csv,75236,utf-8-sig,ok,
2020,金融保险服务,深圳市2020/csv/2020_金融保险服务.csv,3006125,utf-8-sig,ok,
2020,风景名胜,深圳市2020/csv/2020_风景名胜.csv,1053654,utf-8-sig,ok,
2020,餐饮服务,深圳市2020/csv/2020_餐饮服务.csv,45853813,utf-8-sig,ok,
2021,事件活动,深圳市2021/csv/深圳市_事件活动_2021.csv,3339,utf-8-sig,ok,
2021,交通设施服务,深圳市2021/csv/深圳市_交通设施服务_2021.csv,21722112,utf-8-sig,ok,
2021,住宿服务,深圳市2021/csv/深圳市_住宿服务_2021.csv,13142691,utf-8-sig,ok,
2021,体育休闲服务,深圳市2021/csv/深圳市_体育休闲服务_2021.csv,12627542,utf-8-sig,ok,
2021,公共设施,深圳市2021/csv/深圳市_公共设施_2021.csv,4282911,utf-8-sig,ok,
2021,公司企业,深圳市2021/csv/深圳市_公司企业_2021.csv,83617603,utf-8-sig,ok,
2021,医疗保健服务,深圳市2021/csv/深圳市_医疗保健服务_2021.csv,17762387,utf-8-sig,ok,
2021,商务住宅,深圳市2021/csv/深圳市_商务住宅_2021.csv,18767746,utf-8-sig,ok,
2021,地名地址信息,深圳市2021/csv/深圳市_地名地址信息_2021.csv,87542730,utf-8-sig,ok,
2021,室内设施,深圳市2021/csv/深圳市_室内设施_2021.csv,37758554,utf-8-sig,ok,
2021,摩托车服务,深圳市2021/csv/深圳市_摩托车服务_2021.csv,151616,utf-8-sig,ok,
2021,政府机构及社会团体,深圳市2021/csv/深圳市_政府机构及社会团体_2021.csv,14429805,utf-8-sig,ok,
2021,汽车服务,深圳市2021/csv/深圳市_汽车服务_2021.csv,12666279,utf-8-sig,ok,
2021,汽车维修,深圳市2021/csv/深圳市_汽车维修_2021.csv,3414998,utf-8-sig,ok,
2021,汽车销售,深圳市2021/csv/深圳市_汽车销售_2021.csv,2415379,utf-8-sig,ok,
2021,生活服务,深圳市2021/csv/深圳市_生活服务_2021.csv,92341858,utf-8-sig,ok,
2021,科教文化服务,深圳市2021/csv/深圳市_科教文化服务_2021.csv,22059760,utf-8-sig,ok,
2021,购物服务,深圳市2021/csv/深圳市_购物服务_2021.csv,140011889,utf-8-sig,ok,
2021,通行设施,深圳市2021/csv/深圳市_通行设施_2021.csv,24719404,utf-8-sig,ok,
2021,道路附属设施,深圳市2021/csv/深圳市_道路附属设施_2021.csv,131924,utf-8-sig,ok,
2021,金融保险服务,深圳市2021/csv/深圳市_金融保险服务_2021.csv,5843144,utf-8-sig,ok,
2021,风景名胜,深圳市2021/csv/深圳市_风景名胜_2021.csv,2453741,utf-8-sig,ok,
2021,餐饮服务,深圳市2021/csv/深圳市_餐饮服务_2021.csv,96776861,utf-8-sig,ok,
2022,交通设施服务,深圳市2022/csv/2022交通设施服务.csv,22945713,utf-8-sig,ok,
2022,住宿服务,深圳市2022/csv/2022住宿服务.csv,12728174,utf-8-sig,ok,
2022,体育休闲服务,深圳市2022/csv/2022体育休闲服务.csv,8901746,utf-8-sig,ok,
2022,公共设施,深圳市2022/csv/2022公共设施.csv,3037323,utf-8-sig,ok,
2022,公司企业,深圳市2022/csv/2022公司企业.csv,63528318,utf-8-sig,ok,
2022,医疗保健服务,深圳市2022/csv/2022医疗保健服务.csv,11498394,utf-8-sig,ok,
2022,商务住宅,深圳市2022/csv/2022商务住宅.csv,12895797,utf-8-sig,ok,
2022,地名地址信息,深圳市2022/csv/2022地名地址信息.csv,58264268,utf-8-sig,ok,
2022,室内设施,深圳市2022/csv/2022室内设施.csv,6700121,utf-8-sig,ok,
2022,摩托车服务,深圳市2022/csv/2022摩托车服务.csv,101782,utf-8-sig,ok,
2022,政府机构及社会团体,深圳市2022/csv/2022政府机构及社会团体.csv,11082759,utf-8-sig,ok,
2022,汽车服务,深圳市2022/csv/2022汽车服务.csv,8259599,utf-8-sig,ok,
2022,汽车维修,深圳市2022/csv/2022汽车维修.csv,1666421,utf-8-sig,ok,
2022,汽车销售,深圳市2022/csv/2022汽车销售.csv,1508640,utf-8-sig,ok,
2022,生活服务,深圳市2022/csv/2022生活服务.csv,34674952,utf-8-sig,ok,
2022,科教文化服务,深圳市2022/csv/2022科教文化服务.csv,14428828,utf-8-sig,ok,
2022,购物服务,深圳市2022/csv/2022购物服务.csv,54336906,utf-8-sig,ok,
2022,通行设施,深圳市2022/csv/2022通行设施.csv,612,utf-8-sig,ok,
2022,道路附属设施,深圳市2022/csv/2022道路附属设施.csv,69592,utf-8-sig,ok,
2022,金融保险服务,深圳市2022/csv/2022金融保险服务.csv,3903349,utf-8-sig,ok,
2022,风景名胜,深圳市2022/csv/2022风景名胜.csv,2112724,utf-8-sig,ok,
2022,餐饮服务,深圳市2022/csv/2022餐饮服务.csv,69225345,utf-8-sig,ok,
2023,事件活动,深圳市2023/csv2/广东_深圳市_事件活动.csv,2942,utf-8-sig,ok,
2023,交通设施服务,深圳市2023/csv2/广东_深圳市_交通设施服务.csv,16956527,utf-8-sig,ok,
2023,住宿服务,深圳市2023/csv2/广东_深圳市_住宿服务.csv,13590503,utf-8-sig,ok,
2023,体育休闲服务,深圳市2023/csv2/广东_深圳市_体育休闲服务.csv,10153547,utf-8-sig,ok,
2023,公共设施,深圳市2023/csv2/广东_深圳市_公共设施.csv,2633777,utf-8-sig,ok,
2023,公司企业,深圳市2023/csv2/广东_深圳市_公司企业.csv,67530017,utf-8-sig,ok,
2023,医疗保健服务,深圳市2023/csv2/广东_深圳市_医疗保健服务.csv,12930636,utf-8-sig,ok,
2023,商务住宅,深圳市2023/csv2/广东_深圳市_商务住宅.csv,12422410,utf-8-sig,ok,
2023,地名地址信息,深圳市2023/csv2/广东_深圳市_地名地址信息.csv,38629627,utf-8-sig,ok,
2023,室内设施,深圳市2023/csv2/广东_深圳市_室内设施.csv,1065,utf-8-sig,ok,
2023,摩托车服务,深圳市2023/csv2/广东_深圳市_摩托车服务.csv,206751,utf-8-sig,ok,
2023,政府机构及社会团体,深圳市2023/csv2/广东_深圳市_政府机构及社会团体.csv,10716752,utf-8-sig,ok,
2023,汽车服务,深圳市2023/csv2/广东_深圳市_汽车服务.csv,9734624,utf-8-sig,ok,
2023,汽车维修,深圳市2023/csv2/广东_深圳市_汽车维修.csv,2015371,utf-8-sig,ok,
2023,汽车销售,深圳市2023/csv2/广东_深圳市_汽车销售.csv,1835564,utf-8-sig,ok,
2023,生活服务,深圳市2023/csv2/广东_深圳市_生活服务.csv,64995549,utf-8-sig,ok,
2023,科教文化服务,深圳市2023/csv2/广东_深圳市_科教文化服务.csv,12435751,utf-8-sig,ok,
2023,购物服务,深圳市2023/csv2/广东_深圳市_购物服务.csv,106875187,utf-8-sig,ok,
2023,道路附属设施,深圳市2023/csv2/广东_深圳市_道路附属设施.csv,104894,utf-8-sig,ok,
2023,金融保险服务,深圳市2023/csv2/广东_深圳市_金融保险服务.csv,4083310,utf-8-sig,ok,
2023,风景名胜,深圳市2023/csv2/广东_深圳市_风景名胜.csv,1780406,utf-8-sig,ok,
2023,餐饮服务,深圳市2023/csv2/广东_深圳市_餐饮服务.csv,70317346,utf-8-sig,ok,
2024,07_事件活动,深圳市2024/csv/深圳市_广东_202407_事件活动.csv,1678,utf-8-sig,ok,
2024,07_交通设施服务,深圳市2024/csv/深圳市_广东_202407_交通设施服务.csv,16259693,utf-8-sig,ok,
2024,07_住宿服务,深圳市2024/csv/深圳市_广东_202407_住宿服务.csv,8683585,utf-8-sig,ok,
2024,07_体育休闲服务,深圳市2024/csv/深圳市_广东_202407_体育休闲服务.csv,6137925,utf-8-sig,ok,
2024,07_公共设施,深圳市2024/csv/深圳市_广东_202407_公共设施.csv,1858181,utf-8-sig,ok,
2024,07_公司企业,深圳市2024/csv/深圳市_广东_202407_公司企业.csv,43568391,utf-8-sig,ok,
2024,07_医疗保健服务,深圳市2024/csv/深圳市_广东_202407_医疗保健服务.csv,8089930,utf-8-sig,ok,
2024,07_商务住宅,深圳市2024/csv/深圳市_广东_202407_商务住宅.csv,7473419,utf-8-sig,ok,
2024,07_地名地址信息,深圳市2024/csv/深圳市_广东_202407_地名地址信息.csv,50041803,utf-8-sig,ok,
2024,07_室内设施,深圳市2024/csv/深圳市_广东_202407_室内设施.csv,1138,utf-8-sig,ok,
2024,07_摩托车服务,深圳市2024/csv/深圳市_广东_202407_摩托车服务.csv,161100,utf-8-sig,ok,
2024,07_政府机构及社会团体,深圳市2024/csv/深圳市_广东_202407_政府机构及社会团体.csv,7372514,utf-8-sig,ok,
2024,07_汽车服务,深圳市2024/csv/深圳市_广东_202407_汽车服务.csv,5618980,utf-8-sig,ok,
2024,07_汽车维修,深圳市2024/csv/深圳市_广东_202407_汽车维修.csv,1107321,utf-8-sig,ok,
2024,07_汽车销售,深圳市2024/csv/深圳市_广东_202407_汽车销售.csv,1087556,utf-8-sig,ok,
2024,07_生活服务,深圳市2024/csv/深圳市_广东_202407_生活服务.csv,33653602,utf-8-sig,ok,
2024,07_科教文化服务,深圳市2024/csv/深圳市_广东_202407_科教文化服务.csv,7419427,utf-8-sig,ok,
2024,07_虚拟数据,深圳市2024/csv/深圳市_广东_202407_虚拟数据.csv,4087595,utf-8-sig,ok,
2024,07_购物服务,深圳市2024/csv/深圳市_广东_202407_购物服务.csv,52571298,utf-8-sig,ok,
2024,07_道路附属设施,深圳市2024/csv/深圳市_广东_202407_道路附属设施.csv,63048,utf-8-sig,ok,
2024,07_金融保险服务,深圳市2024/csv/深圳市_广东_202407_金融保险服务.csv,2504675,utf-8-sig,ok,
2024,07_风景名胜,深圳市2024/csv/深圳市_广东_202407_风景名胜.csv,1389713,utf-8-sig,ok,
2024,07_餐饮服务,深圳市2024/csv/深圳市_广东_202407_餐饮服务.csv,33757542,utf-8-sig,ok,
2025,交通设施服务,深圳市2025/csv/广东省_深圳市_交通设施服务_2025.csv,23111141,utf-8-sig,ok,
2025,住宿服务,深圳市2025/csv/广东省_深圳市_住宿服务_2025.csv,10332343,utf-8-sig,ok,
2025,体育休闲服务,深圳市2025/csv/广东省_深圳市_体育休闲服务_2025.csv,11953388,utf-8-sig,ok,
2025,公共设施,深圳市2025/csv/广东省_深圳市_公共设施_2025.csv,3536705,utf-8-sig,ok,
2025,公司企业,深圳市2025/csv/广东省_深圳市_公司企业_2025.csv,53448617,utf-8-sig,ok,
2025,医疗保健服务,深圳市2025/csv/广东省_深圳市_医疗保健服务_2025.csv,13186763,utf-8-sig,ok,
2025,商务住宅,深圳市2025/csv/广东省_深圳市_商务住宅_2025.csv,15599451,utf-8-sig,ok,
2025,地名地址信息,深圳市2025/csv/广东省_深圳市_地名地址信息_2025.csv,61917913,utf-8-sig,ok,
2025,室内设施,深圳市2025/csv/广东省_深圳市_室内设施_2025.csv,28500250,utf-8-sig,ok,
2025,摩托车服务,深圳市2025/csv/广东省_深圳市_摩托车服务_2025.csv,311905,utf-8-sig,ok,
2025,政府机构及社会团体,深圳市2025/csv/广东省_深圳市_政府机构及社会团体_2025.csv,9724571,utf-8-sig,ok,
2025,汽车服务,深圳市2025/csv/广东省_深圳市_汽车服务_2025.csv,9945242,utf-8-sig,ok,
2025,汽车维修,深圳市2025/csv/广东省_深圳市_汽车维修_2025.csv,1823166,utf-8-sig,ok,
2025,汽车销售,深圳市2025/csv/广东省_深圳市_汽车销售_2025.csv,1770738,utf-8-sig,ok,
2025,生活服务,深圳市2025/csv/广东省_深圳市_生活服务_2025.csv,49291601,utf-8-sig,ok,
2025,科教文化服务,深圳市2025/csv/广东省_深圳市_科教文化服务_2025.csv,11788495,utf-8-sig,ok,
2025,虚拟数据,深圳市2025/csv/广东省_深圳市_虚拟数据_2025.csv,11053586,utf-8-sig,ok,
2025,购物服务,深圳市2025/csv/广东省_深圳市_购物服务_2025.csv,78770039,utf-8-sig,ok,
2025,通行设施,深圳市2025/csv/广东省_深圳市_通行设施_2025.csv,15464689,utf-8-sig,ok,
2025,道路附属设施,深圳市2025/csv/广东省_深圳市_道路附属设施_2025.csv,71424,utf-8-sig,ok,
2025,金融保险服务,深圳市2025/csv/广东省_深圳市_金融保险服务_2025.csv,3870186,utf-8-sig,ok,
2025,风景名胜,深圳市2025/csv/广东省_深圳市_风景名胜_2025.csv,2810984,utf-8-sig,ok,
2025,餐饮服务,深圳市2025/csv/广东省_深圳市_餐饮服务_2025.csv,56565491,utf-8-sig,ok,
